                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39631,                0.33087,                0.33689,                0.94537,                0.96756,                0.99445,                0.98758,                0.91181,                0.96756,                0.99445,                0.98758,                0.95489,                0.39703,                0.27467,                0.58025,                0.98542,              0.0010496,              0.0010496,              0.0010496
                     26,                0.37957,                0.31809,                0.30834,                 0.9324,                0.93611,                0.97709,                 0.9878,                0.92607,                0.93611,                0.97709,                 0.9878,                 0.9585,                0.38157,                0.34549,                 0.7232,                0.94159,                0.00101,                0.00101,                0.00101
                     27,                0.39744,                0.35414,                 0.3292,                 0.9417,                0.93737,                0.99785,                0.98768,                 0.9383,                0.93737,                0.99785,                0.98768,                0.95574,                0.35618,                0.22265,                0.41472,                0.97439,              0.0009704,              0.0009704,              0.0009704
                     28,                0.41243,                0.34944,                0.33163,                 0.9409,                 0.9874,                0.86667,                 0.9715,                0.94604,                 0.9874,                0.86667,                 0.9715,                0.96017,                0.30199,                0.15801,                0.77315,                0.91388,              0.0009308,              0.0009308,              0.0009308
                     29,                0.38357,                0.36835,                0.30142,                0.94408,                0.96451,                      1,                0.99306,                 0.9406,                0.96451,                      1,                0.99306,                0.98336,                 0.3391,                0.14718,                0.42576,                0.96046,              0.0008912,              0.0008912,              0.0008912
                     30,                0.36496,                0.31924,                0.29903,                0.92594,                      1,                0.99183,                  0.995,                0.93565,                      1,                0.99183,                  0.995,                0.96332,                0.33955,                 0.1596,                0.55502,                0.90786,              0.0008516,              0.0008516,              0.0008516
                     31,                0.37805,                0.34955,                0.30957,                 0.9289,                      1,                0.98737,                  0.995,                 0.9529,                      1,                0.98737,                  0.995,                0.97433,                0.31763,                0.13753,                0.61621,                0.89823,               0.000812,               0.000812,               0.000812
                     32,                0.37216,                0.31148,                0.30072,                0.92875,                0.96573,                      1,                0.99306,                0.93009,                0.96573,                      1,                0.99306,                0.98243,                0.28536,                0.14001,                 0.3576,                0.85931,              0.0007724,              0.0007724,              0.0007724
                     33,                0.37437,                0.34109,                0.29621,                0.93151,                0.99465,                      1,                  0.995,                0.97367,                0.99465,                      1,                  0.995,                  0.995,                0.25287,                 0.1363,                 0.3056,                 0.8292,              0.0007328,              0.0007328,              0.0007328
                     34,                0.37042,                0.36375,                0.29443,                0.92594,                0.93663,                      1,                0.99125,                0.95831,                0.93663,                      1,                0.99125,                0.97506,                0.29069,                0.14344,                0.33935,                0.87348,              0.0006932,              0.0006932,              0.0006932
